Version,Artefact Name,Artefact Type,Type of Interaction,Time Stamp,
VR,Guidebook,Guidebook,Stop Audio Used,03.12.46.554031,
VR,Parliaments of James I,Diorama Exhibit,Exhibit Visited,03.12.53.176919,
VR,Parliaments of James I,Diorama Exhibit,VR Diorama Gesture Active,03.12.53.729522,
VR,Parliaments of James I,Diorama Exhibit,VR Diorama Gesture - Red Line Renderer,03.12.53.732526,
VR,Parliaments of James I,Diorama Exhibit,VR Diorama Gesture - Orange Line Renderer,03.12.53.912569,
VR,Parliaments of James I,Diorama Exhibit,VR Diorama Gesture - Green Line Renderer,03.12.54.022500,
VR,Parliaments of James I,Diorama Exhibit,Exhibit Left,03.12.57.022085,
VR,Parliaments of James I,Diorama Exhibit,VR Diorama Enter,03.12.57.025088,
VR,Parliaments of James I Return,Diorama Exhibit,Exhibit Visited,03.12.59.216976,
VR,Guidebook,Guidebook,Guidebook Opened,03.13.00.787967,
VR,Guidebook,Guidebook,Page turned using gesture (Increment),03.13.01.628456,
VR,Parliaments of James I Return,Diorama Exhibit,SR keyword used - Second Parliament,03.13.04.129277,
VR,Guidebook,Guidebook,Guidebook Closed,03.13.07.956874,
VR,Guidebook,Guidebook,Stop Audio Used,03.13.08.227081,
