Scene,Version,Location ,Rotation,TimeStamp,
PickModality,Standard,"(0.0, 1.0, -10.0)","(0.0, 0.0, 0.0)",03.12.25.939238,
MuseumScene,Standard,"(-29.0, 2.8, 37.0)","(39.1, 335.4, 1.6)",03.12.45.139755,
MuseumScene,Standard,"(-29.0, 2.9, 36.9)","(21.5, 339.3, 3.1)",03.12.45.334975,
MuseumScene,Standard,"(-29.0, 2.9, 36.9)","(19.9, 21.2, 3.9)",03.12.45.835168,
MuseumScene,Standard,"(-25.5, 2.8, 42.6)","(20.5, 25.1, 5.7)",03.12.46.358022,
MuseumScene,Standard,"(-25.5, 2.8, 42.6)","(18.9, 77.2, 6.8)",03.12.46.841868,
MuseumScene,Standard,"(-11.8, 2.7, 44.6)","(17.7, 76.8, 7.1)",03.12.47.363036,
MuseumScene,Standard,"(-11.8, 2.7, 44.6)","(18.4, 79.3, 8.0)",03.12.47.867180,
MuseumScene,Standard,"(0.1, 2.7, 45.3)","(20.1, 79.8, 8.2)",03.12.48.343011,
MuseumScene,Standard,"(9.4, 2.7, 45.0)","(19.7, 130.9, 9.1)",03.12.48.840001,
MuseumScene,Standard,"(9.4, 2.7, 44.9)","(16.1, 148.0, 12.8)",03.12.49.368396,
MuseumScene,Standard,"(9.4, 2.7, 44.9)","(16.6, 149.1, 13.3)",03.12.49.873331,
MuseumScene,Standard,"(14.1, 2.7, 30.6)","(17.6, 147.8, 13.3)",03.12.50.365539,
MuseumScene,Standard,"(14.2, 2.7, 30.6)","(19.2, 170.1, 5.7)",03.12.50.837214,
MuseumScene,Standard,"(14.2, 2.7, 30.6)","(19.4, 173.7, 7.3)",03.12.51.357607,
MuseumScene,Standard,"(14.9, 2.7, 22.3)","(20.2, 223.0, 7.6)",03.12.51.856393,
MuseumScene,Standard,"(14.9, 2.7, 22.3)","(20.3, 224.3, 7.8)",03.12.52.341838,
MuseumScene,Standard,"(14.9, 2.7, 22.3)","(21.3, 223.5, 7.8)",03.12.52.846429,
MuseumScene,Standard,"(8.3, 2.8, 17.3)","(35.6, 204.1, 3.4)",03.12.53.363332,
MuseumScene,Standard,"(8.3, 2.8, 17.4)","(37.6, 203.4, 2.5)",03.12.53.849373,
