Scene,Version,Location ,Rotation,TimeStamp,
PickModality,Standard,"(0.0, 1.0, -10.0)","(0.0, 0.0, 0.0)",06.35.12.144623,
PickModality,Standard,"(0.0, 1.0, -10.0)","(0.0, 0.0, 0.0)",06.35.23.423879,
PickModality,Standard,"(0.0, 1.0, -10.0)","(0.0, 0.0, 0.0)",06.35.23.926336,
MuseumScene,Standard,"(-28.2, 2.9, 38.7)","(0.0, 0.0, 0.0)",06.35.25.567840,
MuseumScene,Standard,"(-28.2, 1.7, 38.7)","(0.0, 0.0, 0.0)",06.35.26.060647,
MuseumScene,Standard,"(-28.2, 1.7, 38.7)","(0.0, 0.0, 0.0)",06.35.26.557512,
MuseumScene,Standard,"(-28.2, 1.7, 38.7)","(0.0, 0.6, 0.0)",06.35.27.063016,
MuseumScene,Standard,"(-28.2, 1.7, 38.7)","(0.0, 354.7, 0.0)",06.35.27.561470,
MuseumScene,Standard,"(-28.3, 1.6, 40.7)","(0.0, 356.6, 0.0)",06.35.28.064927,
MuseumScene,Standard,"(-28.5, 1.6, 45.0)","(0.0, 358.3, 0.0)",06.35.28.563199,
MuseumScene,Standard,"(-30.1, 1.6, 49.2)","(0.0, 25.1, 0.0)",06.35.29.064841,
MuseumScene,Standard,"(-28.5, 1.6, 49.3)","(0.0, 105.1, 0.0)",06.35.29.557290,
MuseumScene,Standard,"(-26.5, 1.6, 44.8)","(0.0, 109.8, 0.0)",06.35.30.068754,
MuseumScene,Standard,"(-21.7, 1.6, 43.7)","(0.0, 93.6, 0.0)",06.35.30.558085,
MuseumScene,Standard,"(-17.3, 1.6, 45.6)","(0.0, 93.5, 0.0)",06.35.31.061543,
MuseumScene,Standard,"(-13.7, 1.6, 44.7)","(0.0, 93.5, 0.0)",06.35.31.566001,
MuseumScene,Standard,"(-8.8, 1.6, 44.5)","(0.0, 87.7, 0.0)",06.35.32.063452,
MuseumScene,Standard,"(-3.8, 1.6, 44.6)","(0.0, 90.2, 0.0)",06.35.32.557902,
MuseumScene,Standard,"(1.2, 1.6, 44.6)","(0.0, 90.2, 0.0)",06.35.33.060358,
MuseumScene,Standard,"(6.2, 1.6, 44.1)","(0.0, 127.3, 0.0)",06.35.33.571823,
MuseumScene,Standard,"(10.2, 1.6, 41.5)","(0.0, 166.8, 0.0)",06.35.34.060267,
MuseumScene,Standard,"(10.7, 1.6, 36.6)","(0.0, 180.5, 0.0)",06.35.34.571307,
MuseumScene,Standard,"(11.3, 1.6, 32.2)","(0.0, 181.6, 0.0)",06.35.35.068828,
MuseumScene,Standard,"(11.0, 1.6, 28.4)","(0.0, 190.1, 0.0)",06.35.35.555071,
MuseumScene,Standard,"(12.8, 1.6, 26.6)","(0.0, 199.6, 0.0)",06.35.36.058081,
MuseumScene,Standard,"(14.9, 1.6, 23.8)","(0.0, 208.0, 0.0)",06.35.36.559712,
MuseumScene,Standard,"(12.3, 1.6, 20.1)","(0.0, 255.1, 0.0)",06.35.37.054827,
MuseumScene,Standard,"(8.1, 1.6, 17.6)","(0.0, 255.2, 0.0)",06.35.37.558285,
MuseumScene,Standard,"(3.4, 1.6, 16.8)","(0.0, 209.0, 0.0)",06.35.38.054926,
MuseumScene,Standard,"(0.4, 1.6, 13.8)","(0.0, 186.4, 0.0)",06.35.38.557747,
MuseumScene,Standard,"(3.8, 1.6, 14.9)","(0.0, 339.0, 0.0)",06.35.39.065208,
MuseumScene,Standard,"(5.7, 1.6, 18.3)","(0.0, 351.4, 0.0)",06.35.39.557656,
MuseumScene,Standard,"(3.0, 1.6, 22.3)","(0.0, 354.6, 0.0)",06.35.40.061113,
MuseumScene,Standard,"(2.2, 1.6, 27.1)","(0.0, 4.4, 0.0)",06.35.40.564570,
MuseumScene,Standard,"(2.8, 1.6, 29.0)","(0.0, 6.4, 0.0)",06.35.41.061022,
MuseumScene,Standard,"(2.2, 1.6, 24.0)","(0.0, 6.1, 0.0)",06.35.41.556473,
MuseumScene,Standard,"(2.1, 1.6, 22.0)","(0.0, 335.1, 0.0)",06.35.42.056927,
MuseumScene,Standard,"(2.1, 1.6, 22.0)","(0.0, 284.4, 0.0)",06.35.42.560385,
MuseumScene,Standard,"(2.1, 1.6, 22.0)","(0.0, 292.6, 0.0)",06.35.43.060839,
